TupleID,ClassLabel
08a9907d-e924-4855-b67f-5cde517d5f16,129000
78f7bf4b-5b3d-4e51-bc9c-8c790392b13e,126000
95ac6c18-9565-4dc9-a092-3bd1be321cc0,94000
36e48b54-0083-4b84-8be9-523515d19079,140000
dacde8ad-d700-4770-8d77-1f22055f6957,84000
a3d6fd45-7f39-4cf6-a8c7-60198f8a9b1a,137000
131bfdca-8310-4706-99df-fda8f9320d43,69000
c82ea2ac-795f-4e59-8e37-57b7ad75fa63,137000
76dd2399-282f-48d6-ad78-c901b78680d1,135000
30152edf-cdfe-4c89-b122-d0aa19489551,116000
a25777ee-64b9-4260-be6b-e12bf29fc550,139000
2b923459-4293-4b54-8cbf-a4c1d9444bcd,122000
9d6d396b-b33e-4695-87b6-c5e5696e2c44,57000
01eb5a79-6569-4722-80de-6d0472861f97,111000
95706187-eaa1-4cfb-aec1-b5f88b382458,139000
67bbe99b-c73c-4589-8591-86e6d88f70d7,91000
a11f7bec-12a1-4853-8a8d-d95f18a527a3,140000
a52018ad-bdff-436f-ba3e-c66fb5694e60,96000
8e33e439-043a-4676-b617-d4b5c0885aef,118000
0b6e0cc9-053c-4673-8fd2-63b6799a83a8,81000
7c2681ac-d299-4a87-8954-085da97961c5,140000
fab55e85-7f71-4e26-8ad9-05b7ae29ef47,86000
f51c5d71-0294-4360-9359-a044abbea8c9,137000
7ecd116a-ff7b-463d-9e13-4891b3e6a4d1,137000
14895b50-dd1f-4017-9927-4fae728be0a8,124000
24177763-df21-4a85-8702-715aa992d860,129000
390a94a6-e44d-448c-96b3-7e45e6165fd0,95000
b91f36a1-9848-45da-9359-8d97429c3fe2,97000
f031a111-1a8b-4b7f-a382-6911e5b9f482,87000
1790c62d-9d6a-443d-b76a-07191c74d4d9,140000
608a4fd1-911f-4844-81fa-3b622118bf80,91000
20155a2d-8451-4161-ac77-8c94048c0cd1,68000
3e653fd8-acc1-48ae-8ae2-aeccf8c663a4,88000
5f3bdb05-2c2d-49f7-bff1-01770d65b4fa,118000
afff0f93-49fe-493c-aa5d-b8425c797f3b,137000
f39661b7-490c-4fec-b96d-f21d21dc6975,141000
8fe2c4b9-b30d-441e-971d-1bdb8ab27e4d,90000
5845b0ea-8d4f-4b56-b314-6c25246576da,136000
a5b0a6af-be24-4d78-8495-c33be1014fcf,134000
c071afce-3d16-40b7-a2b2-ed42d78594e1,140000
40bf2316-c9ae-4703-b36f-9bfbd0f2079e,104000
63c115d5-60bc-407a-999f-d61c30f99981,110000
2b7d3470-6492-425c-a7d5-0dd17c7c7358,131000
a224b70d-2a46-4585-b55e-a856b89e2218,34000
c5fb79dc-c549-4d50-8e3d-04fd0ab04b38,39000
0d7b1347-a2f4-434b-8e2d-5fc9fed99b97,69000
57e627c9-4fc0-4471-9e44-acef1e25616d,102000
578d3d2b-9646-466d-a855-7c019e5854f9,59000
7544bf06-6d5b-404a-9eb8-aebf0b252b02,96000
6b4b30f0-423f-433c-bf42-bc7314f9582a,89000
3c9336e0-2540-4ac5-a228-be021f2217a3,100000
1a7a611c-f01d-44ff-b297-e10cde6df85d,138000
69026761-01e7-4206-83d5-13ae7a02cc5d,76000
66dbdcd8-211e-467e-b65f-e4cc394e50bd,89000
03c690a6-ec37-4846-918f-8aafe952b124,128000
c963fd8b-aca8-4b74-a07c-2daa594f8415,116000
96b2c8f2-4a67-419d-8097-9e77a216a991,123000
412dfc5a-eb0c-4231-8ead-ddbd8cce1613,130000
ffdeb811-8a25-454b-b356-bd7d926f5926,49000
68fba54f-0a49-4941-9806-ffc570d384c9,121000
0b1cd4d2-2e39-4797-99a6-e55b2813c65b,93000
fddebea2-e56f-4146-85b9-548169ee171f,114000
76acb61b-a556-4fb9-a2aa-322f7fdc2955,139000
b4ea9646-a707-42f8-ae80-551f48d70669,140000
ed2985a9-6b45-42db-bddc-40574335b6a0,73000
2d7220bc-44d6-4610-ba47-a00fbb818056,139000
518f9af0-1795-4c8e-8336-3ff8d650bcbb,117000
20f94346-0506-4fb2-9ccc-40ac056fd7ff,139000
3a832bd8-eefa-4555-99ac-74bbbf2a1fae,102000
c3588c6b-b9be-4374-aaf1-6024761fefb4,114000
223b8531-644c-4290-9c9f-31ba7b2b4428,140000
51dd4512-f9ba-48f8-afd4-3b1ded722e44,59000
127b1217-002d-4eb7-851e-292a5a994f5f,95000
86a7516f-9579-4f34-bad5-7772aa0d6612,101000
975e32c6-a656-4955-aa1c-126311c33102,133000
f555bcde-b7ee-4023-bc1d-c7c9ff72c0c5,126000
0482a71d-f83b-49ae-9d2b-1e6a28c1def1,106000
def537fc-c4a5-47ea-b6df-c10405d16f81,140000
1c547748-173a-427e-9a7e-43853bfead65,44000
1bf1c4fc-0664-4eed-b40c-84ffeb1da344,109000
2292709e-2154-49fd-b8b7-75f8a8fb737d,47000
0eaf02f6-7804-4faa-a360-8e2099c74155,125000
232e869b-1217-45a9-a595-47cc5f4588c1,131000
747ba1e5-d9e0-48a0-9d2e-43a174ddc318,137000
b31ed66c-f32b-4339-b7bc-24f4c7afa330,101000
7be5b5e5-296d-457a-8eea-d71b30cdbefd,79000
a67ed2ed-0e64-439f-82ef-0310c5dd8bc7,58000
3bd5742c-24d5-4ac4-aeb5-aefc56b36457,99000
2dc62a52-6aaf-44ae-9e9c-820b64048765,108000
